,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
22071,93266,CA,Stratford,Kings County,102100.0,154996.0,199850.0
22093,94514,CA,Byron,Contra Costa County,,,987483.0
22098,95225,CA,Valley Springs,Calaveras County,345162.0,384345.0,588664.0
22189,95439,CA,Fulton,Sonoma County,640962.0,768674.0,1060280.0
22192,96047,CA,Igo,Shasta County,237143.0,286924.0,359428.0
22228,94970,CA,Stinson Beach,Marin County,2239869.0,3142338.0,4335680.0
22273,96113,CA,Doyle,Lassen County,77728.0,82627.0,106847.0
22297,91008,CA,Bradbury,Los Angeles County,1356254.0,1363592.0,1628534.0
22409,92358,CA,Lytle Creek,San Bernardino County,215939.0,301386.0,393304.0
22415,93529,CA,June Lake,Mono County,446555.0,482897.0,631625.0
22445,93239,CA,Kettleman City,Kings County,97607.0,135520.0,201869.0
22462,95369,CA,Snelling,Merced County,219964.0,317356.0,485744.0
22475,92268,CA,Yucca Valley,San Bernardino County,227811.0,322933.0,526413.0
22487,92368,CA,Helendale,San Bernardino County,99753.0,144057.0,235604.0
22499,96038,CA,Grenada,Siskiyou County,158702.0,176148.0,227466.0
22525,95543,CA,Gasquet,Del Norte County,,,421326.0
22533,95651,CA,Lotus,El Dorado County,381063.0,452756.0,630429.0
22535,95686,CA,Thornton,San Joaquin County,302035.0,383743.0,617262.0
22549,95345,CA,Midpines,Mariposa County,248167.0,279674.0,354633.0
22578,96104,CA,Cedarville,Modoc County,134266.0,160258.0,198448.0
22582,92059,CA,Pala,San Diego County,633462.0,720342.0,1063531.0
22794,95007,CA,Boulder Creek,Santa Cruz County,565833.0,686811.0,902317.0
22829,95935,CA,Dobbins,Yuba County,216843.0,271893.0,393357.0
22830,93517,CA,Bridgeport,Mono County,283082.0,313557.0,412631.0
22851,93526,CA,Independence,Inyo County,,,279715.0
22874,95937,CA,Arbuckle,Colusa County,314220.0,376874.0,488442.0
22895,95615,CA,Courtland,Sacramento County,329730.0,434271.0,610206.0
22931,96148,CA,Tahoe Vista,Placer County,462965.0,583658.0,897830.0
22938,95728,CA,Soda Springs,Placer County,456393.0,561077.0,883465.0
22970,93962,CA,Salinas,Monterey County,537692.0,621528.0,827752.0
23047,95565,CA,Scotia,Humboldt County,,,334589.0
23066,95563,CA,Salyer,Trinity County,347597.0,370375.0,465967.0
23098,93668,CA,Tranquillity,Fresno County,157328.0,197975.0,277593.0
23107,94938,CA,Lagunitas,Marin County,830292.0,893766.0,1257284.0
23123,95497,CA,The Sea Ranch,Sonoma County,903275.0,994521.0,1737732.0
23125,93227,CA,Visalia,Tulare County,136038.0,185124.0,279906.0
23129,95659,CA,Nicolaus,Sutter County,518863.0,645389.0,705313.0
23149,95254,CA,Valley Springs,Calaveras County,356946.0,446653.0,653398.0
23157,96096,CA,Whitmore,Shasta County,,322621.0,416340.0
23168,91917,CA,Dulzura,San Diego County,399750.0,483265.0,685811.0
23175,94592,CA,Vallejo,Solano County,444070.0,584051.0,761414.0
23183,95303,CA,Ballico,Merced County,381755.0,474621.0,791979.0
23194,96120,CA,Kirkwood,Alpine County,364376.0,413439.0,523321.0
23280,95674,CA,Rio Oso,Sutter County,350742.0,507789.0,725221.0
23283,93673,CA,Kingsburg,Fresno County,92262.0,159101.0,212576.0
23315,96058,CA,Macdoel,Siskiyou County,73539.0,81007.0,100967.0
23344,95943,CA,Glenn,Glenn County,441570.0,546729.0,779722.0
23391,95251,CA,Vallecito,Calaveras County,,309881.0,379135.0
23397,95668,CA,Pleasant Grove,Sutter County,564009.0,632143.0,778284.0
23408,95549,CA,Kneeland,Humboldt County,,505040.0,728883.0
23535,92385,CA,Lake Arrowhead,San Bernardino County,281179.0,330821.0,496828.0
23537,91210,CA,Glendale,Los Angeles County,,,1184410.0
23545,95230,CA,Farmington,San Joaquin County,385330.0,505879.0,754569.0
23624,91934,CA,Jacumba,San Diego County,150318.0,182999.0,284318.0
23630,93201,CA,Alpaugh,Tulare County,155767.0,143211.0,203086.0
23681,92347,CA,Hinkley,San Bernardino County,111404.0,73074.0,91806.0
23695,95979,CA,Stonyford,Colusa County,140544.0,163264.0,228659.0
23706,96059,CA,Manton,Tehama County,218579.0,278105.0,348669.0
23712,92258,CA,Desert Hot Springs,Riverside County,137535.0,189952.0,289680.0
23721,95957,CA,Meridian,Sutter County,213510.0,357671.0,531935.0
23723,93608,CA,Cantua Creek,Fresno County,,,198147.0
23749,96106,CA,Clio,Plumas County,432811.0,483896.0,611314.0
23767,92378,CA,Lake Arrowhead,San Bernardino County,175005.0,231647.0,369495.0
