,zip,city,county,12/31/2015,12/31/2019
772,92501,Riverside,Riverside,287256.0,369906.0
773,90603,Whittier,Los Angeles,525087.0,614756.0
774,90717,Lomita,Los Angeles,569319.0,693719.0
775,90048,Los Angeles,Los Angeles,1488111.0,1830521.0
776,91101,Pasadena,Los Angeles,525013.0,626612.0
777,93444,Nipomo,San Luis Obispo,555302.0,630281.0
778,95841,Sacramento,Sacramento,228440.0,324522.0
779,94706,Albany,Alameda,905871.0,1091413.0
780,94127,San Francisco,San Francisco,1550894.0,1836054.0
781,90068,Los Angeles,Los Angeles,1248951.0,1468592.0
782,95405,Santa Rosa,Sonoma,527095.0,615369.0
783,95521,Arcata,Humboldt,319047.0,355972.0
784,95949,Grass Valley,Nevada,361434.0,428190.0
785,93630,Kerman,Fresno,216059.0,270588.0
786,95138,San Jose,Santa Clara,1074260.0,1254692.0
787,95827,Sacramento,Sacramento,247145.0,340988.0
788,92865,Orange,Orange,580917.0,680721.0
789,93103,Santa Barbara,Santa Barbara,1247199.0,1269129.0
790,94019,Half Moon Bay,San Mateo,1076691.0,1274431.0
791,91501,Burbank,Los Angeles,718397.0,886699.0
792,95965,Oroville,Butte,174393.0,258492.0
793,92808,Anaheim,Orange,700548.0,782918.0
794,92377,Rialto,San Bernardino,342115.0,426298.0
795,91011,La Canada Flintridge,Los Angeles,1511304.0,1699865.0
796,94503,American Canyon,Napa,495198.0,595168.0
797,91361,Westlake Village,Ventura,970975.0,1113581.0
798,90715,Lakewood,Los Angeles,451529.0,563247.0
799,90069,West Hollywood,Los Angeles,983645.0,1128055.0
800,92106,San Diego,San Diego,949579.0,1169768.0
801,95391,Tracy,San Joaquin,547623.0,656010.0
802,96130,Susanville,Lassen,169087.0,181531.0
803,92264,Palm Springs,Riverside,344736.0,397884.0
804,91040,Sunland,Los Angeles,512577.0,650048.0
805,94519,Concord,Contra Costa,429532.0,564036.0
806,92887,Yorba Linda,Orange,847770.0,926679.0
