,RegionID,SizeRank,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
331,96008,333,90027,CA,Los Angeles,Los Angeles County,1237525.0,1500968.0,1919562.0
336,97435,338,93727,CA,Fresno,Fresno County,220905.0,281089.0,404246.0
337,97774,339,94568,CA,Dublin,Alameda County,863196.0,993664.0,1492272.0
339,97952,341,95051,CA,Santa Clara,Santa Clara County,1113426.0,1406927.0,1925811.0
340,96364,342,91335,CA,Los Angeles,Los Angeles County,452267.0,570255.0,814095.0
341,98378,343,95687,CA,Vacaville,Solano County,361802.0,447303.0,611781.0
345,96221,347,90731,CA,Los Angeles,Los Angeles County,508082.0,626286.0,839092.0
356,97328,358,93550,CA,Palmdale,Los Angeles County,208583.0,295130.0,436526.0
358,97319,360,93536,CA,Lancaster,Los Angeles County,283619.0,372221.0,541024.0
369,96962,371,92630,CA,Lake Forest,Orange County,651185.0,738537.0,1084847.0
373,97717,375,94509,CA,Antioch,Contra Costa County,364766.0,516163.0,690950.0
376,98413,378,95758,CA,Elk Grove,Sacramento County,325797.0,421784.0,626788.0
377,97222,379,93306,CA,Bakersfield,Kern County,187565.0,221176.0,318586.0
384,97223,386,93307,CA,Bakersfield,Kern County,151030.0,190662.0,278889.0
387,97318,389,93535,CA,Lancaster,Los Angeles County,192381.0,277418.0,424866.0
389,97576,391,94122,CA,San Francisco,San Francisco County,1236094.0,1498653.0,1830039.0
393,97202,395,93274,CA,Tulare,Tulare County,180676.0,222899.0,321605.0
407,97189,409,93257,CA,Porterville,Tulare County,163706.0,209682.0,292191.0
414,97167,417,93230,CA,Hanford,Kings County,197730.0,246667.0,347476.0
431,97225,434,93309,CA,Bakersfield,Kern County,191226.0,224082.0,323330.0
439,97748,442,94541,CA,Hayward,Alameda County,518668.0,661047.0,915420.0
440,97745,443,94538,CA,Fremont,Alameda County,783588.0,986645.0,1445609.0
441,97970,444,95076,CA,Watsonville,Santa Cruz County,495756.0,619390.0,888502.0
445,96236,448,90802,CA,Long Beach,Los Angeles County,314448.0,416052.0,525521.0
451,97721,454,94513,CA,Brentwood,Contra Costa County,558988.0,688370.0,985721.0
458,96186,461,90631,CA,La Habra,Orange County,533074.0,626121.0,890479.0
461,96646,464,92104,CA,San Diego,San Diego County,520751.0,634489.0,943690.0
467,96965,469,92647,CA,Huntington Beach,Orange County,687865.0,790639.0,1122733.0
476,96690,479,92154,CA,San Diego,San Diego County,381149.0,480405.0,737438.0
483,96952,486,92618,CA,Irvine,Orange County,875908.0,956689.0,1334071.0
486,96657,489,92115,CA,San Diego,San Diego County,436254.0,555705.0,852834.0
491,98135,494,95355,CA,Modesto,Stanislaus County,272299.0,350317.0,496566.0
500,97792,503,94587,CA,Union City,Alameda County,730133.0,929811.0,1461392.0
506,98361,509,95670,CA,Rancho Cordova,Sacramento County,277671.0,363448.0,514013.0
510,96964,513,92646,CA,Huntington Beach,Orange County,773404.0,905387.0,1315567.0
518,96954,521,92620,CA,Irvine,Orange County,894682.0,999529.0,1421179.0
534,97926,537,95014,CA,Cupertino,Santa Clara County,1930489.0,2245303.0,3164529.0
539,96846,542,92376,CA,Rialto,San Bernardino County,273792.0,357758.0,526824.0
541,97980,544,95112,CA,San Jose,Santa Clara County,684082.0,903414.0,1157575.0
552,97545,555,94080,CA,South San Francisco,San Mateo County,847811.0,1088150.0,1387884.0
553,96966,556,92648,CA,Huntington Beach,Orange County,925965.0,1057027.0,1457154.0
554,96671,557,92130,CA,San Diego,San Diego County,1045281.0,1251830.0,1992930.0
557,96647,560,92105,CA,San Diego,San Diego County,345600.0,456032.0,709560.0
563,96664,566,92122,CA,San Diego,San Diego County,606278.0,775816.0,1149458.0
573,98341,576,95648,CA,Lincoln,Placer County,403896.0,504012.0,696560.0
581,96918,584,92563,CA,Murrieta,Riverside County,376759.0,456018.0,709725.0
588,96017,591,90036,CA,Los Angeles,Los Angeles County,1451959.0,1820609.0,2136159.0
589,97567,592,94112,CA,San Francisco,San Francisco County,939970.0,1162274.0,1381654.0
597,97549,600,94087,CA,Sunnyvale,Santa Clara County,1714497.0,2020248.0,2862844.0
603,97993,606,95125,CA,San Jose,Santa Clara County,1135909.0,1375477.0,1925533.0
605,96192,608,90640,CA,Montebello,Los Angeles County,451269.0,555863.0,725195.0
621,96917,624,92562,CA,Murrieta,Riverside County,375315.0,454315.0,696127.0
641,96659,644,92117,CA,San Diego,San Diego County,559812.0,704751.0,1061490.0
646,97548,649,94086,CA,Sunnyvale,Santa Clara County,1249375.0,1578241.0,2102163.0
652,97852,655,94806,CA,San Pablo,Contra Costa County,363010.0,491558.0,663144.0
658,96669,661,92128,CA,San Diego,San Diego County,548419.0,653516.0,1008677.0
662,97796,665,94591,CA,Vallejo,Solano County,375169.0,476659.0,664997.0
663,96531,665,91801,CA,Alhambra,Los Angeles County,552344.0,676395.0,869379.0
668,96361,671,91331,CA,Los Angeles,Los Angeles County,390027.0,503475.0,706604.0
681,97024,684,92805,CA,Anaheim,Orange County,475103.0,578967.0,835628.0
684,96023,687,90042,CA,Los Angeles,Los Angeles County,616826.0,802084.0,1124365.0
690,96589,693,92020,CA,El Cajon,San Diego County,454209.0,551969.0,834447.0
691,97760,694,94553,CA,Martinez,Contra Costa County,504938.0,606992.0,819100.0
692,96728,695,92201,CA,Indio,Riverside County,240658.0,304333.0,475402.0
696,97506,699,94015,CA,Daly City,San Mateo County,855602.0,1086727.0,1362555.0
699,96861,702,92399,CA,Yucaipa,San Bernardino County,318036.0,388576.0,551602.0
700,97075,703,92882,CA,Corona,Riverside County,430548.0,516625.0,771625.0
739,97224,742,93308,CA,Oildale,Kern County,188641.0,222827.0,322062.0
740,97920,742,95008,CA,Campbell,Santa Clara County,1117647.0,1356345.0,1922757.0
747,96974,750,92656,CA,Aliso Viejo,Orange County,553454.0,631761.0,920879.0
748,96612,751,92056,CA,Oceanside,San Diego County,451030.0,551119.0,854690.0
756,97004,759,92704,CA,Santa Ana,Orange County,474958.0,587100.0,822712.0
761,96625,764,92071,CA,Santee,San Diego County,426715.0,519237.0,803400.0
764,96958,767,92626,CA,Costa Mesa,Orange County,734589.0,852529.0,1263078.0
774,98130,777,95350,CA,Modesto,Stanislaus County,222692.0,303156.0,437179.0
776,98319,779,95624,CA,Elk Grove,Sacramento County,357866.0,455936.0,679373.0
786,96888,789,92509,CA,Riverside,Riverside County,319478.0,412301.0,612406.0
791,96593,794,92024,CA,Encinitas,San Diego County,940388.0,1178881.0,1836963.0
792,96911,795,92553,CA,Moreno Valley,Riverside County,247298.0,330426.0,513586.0
809,97073,812,92880,CA,Eastvale,Riverside County,504925.0,595782.0,911992.0
811,96758,814,92253,CA,La Quinta,Riverside County,436676.0,480099.0,754863.0
812,95987,815,90006,CA,Los Angeles,Los Angeles County,550447.0,719178.0,851599.0
829,96735,832,92223,CA,Beaumont,Riverside County,287041.0,356220.0,546893.0
840,97931,843,95020,CA,Gilroy,Santa Clara County,678459.0,791919.0,1132557.0
856,96110,859,90255,CA,Huntington Park,Los Angeles County,353307.0,456279.0,603639.0
858,96009,861,90028,CA,Los Angeles,Los Angeles County,781511.0,892149.0,1033407.0
861,97569,864,94115,CA,San Francisco,San Francisco County,1629299.0,1713716.0,1847180.0
862,96743,865,92234,CA,Cathedral City,Riverside County,261762.0,329379.0,509427.0
863,97083,866,93003,CA,Ventura,Ventura County,519318.0,609509.0,892751.0
866,96520,869,91786,CA,Upland,San Bernardino County,405111.0,485392.0,689044.0
890,97227,893,93312,CA,Bakersfield,Kern County,276818.0,306203.0,435974.0
904,96005,909,90024,CA,Los Angeles,Los Angeles County,1191941.0,1398240.0,1600608.0
909,96613,914,92057,CA,Oceanside,San Diego County,421688.0,520030.0,798252.0
959,97008,964,92708,CA,Fountain Valley,Orange County,724080.0,846803.0,1223698.0
962,97116,967,93063,CA,Simi Valley,Ventura County,523794.0,603318.0,851571.0
965,96645,970,92103,CA,San Diego,San Diego County,660317.0,764919.0,1087499.0
977,97205,980,93277,CA,Visalia,Tulare County,199047.0,240275.0,350786.0
1000,97429,1005,93720,CA,Fresno,Fresno County,286321.0,349449.0,480897.0
1001,96411,1006,91402,CA,Los Angeles,Los Angeles County,383086.0,502650.0,693470.0
1010,97571,1015,94117,CA,San Francisco,San Francisco County,1575852.0,1735258.0,1866609.0
1021,96572,1026,91977,CA,Spring Valley,San Diego County,386247.0,480554.0,747947.0
1024,96886,1029,92507,CA,Riverside,Riverside County,315034.0,401055.0,598930.0
1032,96602,1037,92037,CA,San Diego,San Diego County,1461228.0,1720089.0,2453885.0
1033,96389,1038,91367,CA,Los Angeles,Los Angeles County,672205.0,803635.0,1124068.0
1036,97557,1041,94102,CA,San Francisco,San Francisco County,921287.0,949724.0,952085.0
1038,96826,1043,92346,CA,Highland,San Bernardino County,292043.0,362113.0,527542.0
1041,98041,1046,95207,CA,Stockton,San Joaquin County,209568.0,294579.0,435564.0
1045,98440,1051,95831,CA,Sacramento,Sacramento County,382658.0,482107.0,682468.0
1047,98543,1053,96003,CA,Redding,Shasta County,,310696.0,415916.0
1051,97265,1057,93436,CA,Lompoc,Santa Barbara County,304477.0,368330.0,536926.0
1056,97575,1062,94121,CA,San Francisco,San Francisco County,1467111.0,1750692.0,2027968.0
1066,98437,1072,95828,CA,Florin,Sacramento County,238474.0,323424.0,482412.0
1067,98312,1073,95616,CA,Davis,Yolo County,609569.0,704881.0,916081.0
1068,96415,1074,91406,CA,Los Angeles,Los Angeles County,499139.0,626416.0,889071.0
1069,97215,1075,93291,CA,Visalia,Tulare County,232975.0,277466.0,401472.0
1074,96030,1080,90049,CA,Los Angeles,Los Angeles County,2475163.0,2766849.0,3350413.0
1078,96506,1084,91766,CA,Pomona,Los Angeles County,363284.0,448266.0,633614.0
1081,96465,1087,91706,CA,Baldwin Park,Los Angeles County,383870.0,473975.0,648819.0
1084,96765,1090,92260,CA,Palm Desert,Riverside County,342950.0,386901.0,606305.0
1087,96001,1092,90020,CA,Los Angeles,Los Angeles County,549416.0,676080.0,768688.0
1093,96488,1099,91744,CA,La Puente,Los Angeles County,395894.0,485998.0,672348.0
1110,97020,1115,92801,CA,Anaheim,Orange County,475517.0,577442.0,844085.0
1119,96123,1125,90277,CA,Redondo Beach,Los Angeles County,1059587.0,1288912.0,1633357.0
1123,97016,1129,92780,CA,Tustin,Orange County,612078.0,704248.0,1000329.0
1124,97813,1130,94611,CA,Oakland,Alameda County,1152964.0,1376724.0,1870968.0
1125,96868,1131,92407,CA,San Bernardino,San Bernardino County,268645.0,346917.0,512037.0
1126,96865,1132,92404,CA,San Bernardino,San Bernardino County,222626.0,301139.0,452797.0
1142,96502,1148,91762,CA,Ontario,San Bernardino County,358595.0,453015.0,654022.0
1153,98323,1159,95628,CA,Fair Oaks,Sacramento County,373786.0,464538.0,651897.0
1154,97958,1160,95060,CA,Santa Cruz,Santa Cruz County,855580.0,1017397.0,1559882.0
1159,97757,1165,94550,CA,Livermore,Alameda County,777554.0,892130.0,1350990.0
1176,96414,1183,91405,CA,Los Angeles,Los Angeles County,471803.0,608283.0,849543.0
1186,96629,1193,92078,CA,San Marcos,San Diego County,551675.0,653330.0,1018752.0
1187,98306,1194,95610,CA,Citrus Heights,Sacramento County,288957.0,379599.0,541181.0
1188,96807,1195,92324,CA,Colton,San Bernardino County,242889.0,322904.0,471166.0
1189,96245,1196,90813,CA,Long Beach,Los Angeles County,325726.0,441803.0,606699.0
1201,96501,1207,91761,CA,Ontario,San Bernardino County,381061.0,463785.0,674133.0
1203,96237,1210,90803,CA,Long Beach,Los Angeles County,873525.0,1010313.0,1327801.0
1205,96161,1212,90503,CA,Torrance,Los Angeles County,777635.0,921604.0,1241340.0
1212,97783,1220,94577,CA,San Leandro,Alameda County,550036.0,687736.0,960977.0
1220,96595,1228,92026,CA,Escondido,San Diego County,437872.0,529108.0,816325.0
1222,96446,1230,91601,CA,Los Angeles,Los Angeles County,600238.0,765501.0,1004371.0
1242,98040,1249,95206,CA,Stockton,San Joaquin County,203262.0,299130.0,450441.0
1246,97572,1254,94118,CA,San Francisco,San Francisco County,2038947.0,2268783.0,2538612.0
1248,97753,1256,94546,CA,Castro Valley,Alameda County,676342.0,825885.0,1241719.0
1249,96464,1257,91702,CA,Azusa,Los Angeles County,393922.0,481616.0,661363.0
1260,98369,1269,95678,CA,Roseville,Placer County,322904.0,410166.0,576059.0
1261,96996,1270,92692,CA,Mission Viejo,Orange County,684082.0,756863.0,1122575.0
1273,97703,1282,94403,CA,San Mateo,San Mateo County,1324491.0,1590570.0,2020562.0
1279,98317,1288,95621,CA,Citrus Heights,Sacramento County,250670.0,339936.0,486689.0
1291,96656,1300,92114,CA,San Diego,San Diego County,362303.0,468025.0,724092.0
1307,95986,1315,90005,CA,Los Angeles,Los Angeles County,726702.0,885112.0,1025494.0
1309,96028,1317,90047,CA,Los Angeles,Los Angeles County,372538.0,530823.0,738790.0
1313,96510,1322,91770,CA,Rosemead,Los Angeles County,509625.0,617651.0,799673.0
1317,96369,1326,91343,CA,Los Angeles,Los Angeles County,488874.0,618974.0,892597.0
1318,96104,1327,90247,CA,Gardena,Los Angeles County,427777.0,548858.0,733548.0
1320,95984,1329,90003,CA,Los Angeles,Los Angeles County,307782.0,430013.0,563578.0
1321,97471,1330,93906,CA,Salinas,Monterey County,384501.0,474790.0,674741.0
1328,96185,1337,90630,CA,Cypress,Orange County,608380.0,706352.0,1015888.0
1346,97274,1356,93446,CA,Paso Robles,San Luis Obispo County,437885.0,518139.0,721605.0
1348,95997,1358,90016,CA,Los Angeles,Los Angeles County,547161.0,827637.0,1106911.0
1353,96560,1362,91942,CA,La Mesa,San Diego County,429939.0,532934.0,833355.0
1368,95999,1378,90018,CA,Los Angeles,Los Angeles County,528887.0,791517.0,998785.0
1372,96024,1380,90043,CA,Los Angeles,Los Angeles County,496153.0,709671.0,990547.0
1375,96597,1385,92028,CA,Fallbrook,San Diego County,501532.0,592527.0,890726.0
1378,96670,1388,92129,CA,San Diego,San Diego County,683840.0,818323.0,1364472.0
1385,98431,1394,95822,CA,Sacramento,Sacramento County,243376.0,326138.0,466248.0
1386,96018,1396,90037,CA,Los Angeles,Los Angeles County,365993.0,519575.0,693099.0
1391,97558,1401,94103,CA,San Francisco,San Francisco County,1045345.0,1077196.0,1048213.0
1392,96339,1402,91304,CA,Los Angeles,Los Angeles County,559425.0,672956.0,942262.0
1393,97795,1404,94590,CA,Vallejo,Solano County,275619.0,394773.0,548230.0
1397,97568,1408,94114,CA,San Francisco,San Francisco County,1836399.0,2038344.0,2211152.0
1402,97329,1413,93551,CA,Palmdale,Los Angeles County,330395.0,414328.0,599158.0
1414,96732,1425,92211,CA,Palm Desert,Riverside County,330256.0,365638.0,552470.0
1421,97068,1432,92870,CA,Placentia,Orange County,628812.0,718175.0,1040076.0
1426,96003,1437,90022,CA,East Los Angeles,Los Angeles County,380823.0,484917.0,634122.0
1431,97992,1442,95124,CA,San Jose,Santa Clara County,1102181.0,1317479.0,1946788.0
1439,96026,1450,90045,CA,Los Angeles,Los Angeles County,984427.0,1222863.0,1547027.0
1451,97746,1463,94539,CA,Fremont,Alameda County,1397982.0,1639771.0,2219927.0
1453,97562,1463,94107,CA,San Francisco,San Francisco County,1189718.0,1268797.0,1294455.0
1462,98118,1474,95336,CA,Manteca,San Joaquin County,304041.0,391874.0,587554.0
1468,96898,1480,92530,CA,Lake Elsinore,Riverside County,289044.0,368001.0,568105.0
1469,96653,1480,92111,CA,San Diego,San Diego County,484119.0,616628.0,942102.0
1471,97501,1483,94010,CA,Burlingame,San Mateo County,2552439.0,2935544.0,3632624.0
1477,96567,1489,91950,CA,National City,San Diego County,336933.0,439836.0,673072.0
1486,97104,1498,93033,CA,Oxnard,Ventura County,430655.0,523988.0,666940.0
1491,96596,1503,92027,CA,Escondido,San Diego County,403576.0,495850.0,770033.0
1494,96855,1506,92392,CA,Victorville,San Bernardino County,213530.0,282431.0,431009.0
1497,97772,1509,94566,CA,Pleasanton,Alameda County,1092116.0,1286062.0,1925480.0
1501,96370,1513,91344,CA,Los Angeles,Los Angeles County,556539.0,674181.0,970205.0
1502,98415,1514,95762,CA,El Dorado Hills,El Dorado County,552012.0,650805.0,969349.0
1504,96124,1516,90278,CA,Redondo Beach,Los Angeles County,866365.0,1056330.0,1412245.0
1512,96995,1524,92691,CA,Mission Viejo,Orange County,653608.0,747133.0,1109907.0
1517,97226,1529,93311,CA,Bakersfield,Kern County,283798.0,315440.0,448595.0
1528,97872,1540,94928,CA,Rohnert Park,Sonoma County,476944.0,563527.0,715700.0
1529,97078,1541,92886,CA,Yorba Linda,Orange County,767033.0,848003.0,1235314.0
1534,96658,1546,92116,CA,San Diego,San Diego County,525283.0,644708.0,969712.0
1535,97807,1547,94605,CA,Oakland,Alameda County,513453.0,681666.0,935866.0
1541,96905,1553,92545,CA,Hemet,Riverside County,225981.0,294104.0,454490.0
1542,96883,1554,92504,CA,Riverside,Riverside County,306669.0,392979.0,589051.0
1544,97089,1556,93010,CA,Camarillo,Ventura County,566500.0,643982.0,888907.0
1550,97942,1562,95037,CA,Morgan Hill,Santa Clara County,842250.0,991877.0,1430364.0
1553,96206,1565,90703,CA,Cerritos,Los Angeles County,663163.0,745465.0,985567.0
1561,96038,1573,90057,CA,Los Angeles,Los Angeles County,415711.0,550229.0,614757.0
1584,97540,1596,94066,CA,San Bruno,San Mateo County,922341.0,1171370.0,1493618.0
1595,96582,1607,92009,CA,Carlsbad,San Diego County,811773.0,955372.0,1552315.0
1597,98153,1609,95376,CA,Tracy,San Joaquin County,350291.0,450065.0,681888.0
1603,96982,1615,92672,CA,San Clemente,Orange County,971655.0,1123423.0,1683100.0
1607,96489,1619,91745,CA,Hacienda Heights,Los Angeles County,569803.0,661782.0,892155.0
1611,97803,1624,94601,CA,Oakland,Alameda County,419497.0,585165.0,784400.0
1613,96610,1626,92054,CA,Oceanside,San Diego County,559586.0,708541.0,1092981.0
1623,97812,1636,94610,CA,Oakland,Alameda County,1041700.0,1354003.0,1741611.0
1629,97135,1642,93117,CA,Goleta,Santa Barbara County,796591.0,874692.0,1298697.0
1632,97516,1645,94025,CA,Menlo Park,San Mateo County,2208020.0,2548234.0,3071156.0
1639,96993,1652,92688,CA,Rancho Santa Margarita,Orange County,579116.0,654935.0,968814.0
1652,96197,1665,90660,CA,Pico Rivera,Los Angeles County,403242.0,500871.0,677830.0
1674,97933,1687,95023,CA,Hollister,San Benito County,495636.0,615684.0,858692.0
1681,97041,1693,92833,CA,Fullerton,Orange County,542543.0,632424.0,909675.0
1682,96618,1695,92064,CA,Poway,San Diego County,636564.0,753458.0,1181361.0
1690,96668,1703,92127,CA,San Diego,San Diego County,816289.0,969047.0,1588334.0
1691,98434,1703,95825,CA,Arden-Arcade,Sacramento County,240156.0,327231.0,455754.0
1717,96505,1730,91765,CA,Diamond Bar,Los Angeles County,634415.0,696954.0,944359.0
1724,96904,1737,92544,CA,Hemet,Riverside County,218545.0,292481.0,459946.0
1731,97422,1744,93711,CA,Fresno,Fresno County,302721.0,368721.0,502435.0
1735,97729,1748,94521,CA,Concord,Contra Costa County,633907.0,625827.0,793826.0
1756,96978,1769,92660,CA,Newport Beach,Orange County,1826918.0,2018171.0,2881717.0
1758,96605,1771,92040,CA,Lakeside,San Diego County,431871.0,518090.0,803397.0
1769,96122,1782,90275,CA,Rancho Palos Verdes,Los Angeles County,1195888.0,1355826.0,1877827.0
1772,98067,1785,95240,CA,Lodi,San Joaquin County,255746.0,336673.0,492404.0
1780,96450,1793,91605,CA,Los Angeles,Los Angeles County,455584.0,603100.0,842464.0
1781,98004,1794,95136,CA,San Jose,Santa Clara County,819663.0,999479.0,1481653.0
1799,97220,1811,93304,CA,Bakersfield,Kern County,148113.0,182915.0,269115.0
1810,96229,1823,90745,CA,Carson,Los Angeles County,422325.0,542107.0,724622.0
1812,98435,1824,95826,CA,Rosemont,Sacramento County,259911.0,355503.0,514485.0
1824,96504,1837,91764,CA,Ontario,San Bernardino County,336026.0,423628.0,610733.0
1825,98170,1838,95403,CA,Santa Rosa,Sonoma County,492439.0,587580.0,734324.0
1829,97358,1842,93611,CA,Clovis,Fresno County,282708.0,343845.0,482647.0
1831,98430,1844,95821,CA,Arden-Arcade,Sacramento County,286226.0,372793.0,521536.0
1840,96927,1852,92584,CA,Menifee,Riverside County,336951.0,411577.0,636718.0
1845,96238,1857,90804,CA,Long Beach,Los Angeles County,417396.0,518997.0,700091.0
1851,98358,1864,95667,CA,Placerville,El Dorado County,335857.0,399088.0,566648.0
1853,97995,1866,95127,CA,San Jose,Santa Clara County,645561.0,810427.0,1137699.0
1854,96273,1867,91016,CA,Monrovia,Los Angeles County,610972.0,721470.0,939887.0
1855,98233,1868,95476,CA,Sonoma,Sonoma County,728209.0,823970.0,1046719.0
1856,97979,1869,95111,CA,San Jose,Santa Clara County,610907.0,783230.0,1095649.0
1861,97960,1875,95062,CA,Santa Cruz,Santa Cruz County,783339.0,952230.0,1498100.0
1869,97994,1883,95126,CA,San Jose,Santa Clara County,857438.0,1087351.0,1390126.0
1880,97858,1894,94901,CA,San Rafael,Marin County,999045.0,1188686.0,1591712.0
1883,97808,1897,94606,CA,Oakland,Alameda County,523395.0,696214.0,873919.0
1888,96548,1902,91913,CA,Chula Vista,San Diego County,488761.0,576249.0,896371.0
1891,96247,1905,90815,CA,Long Beach,Los Angeles County,606622.0,715931.0,974362.0
1892,96885,1906,92506,CA,Riverside,Riverside County,384845.0,470629.0,695148.0
1902,97283,1916,93455,CA,Santa Maria,Santa Barbara County,394728.0,455407.0,653732.0
1924,98480,1938,95926,CA,Chico,Butte County,277706.0,383681.0,457063.0
1935,97527,1949,94040,CA,Mountain View,Santa Clara County,2025485.0,2402331.0,3148162.0
1957,97810,1971,94608,CA,Oakland,Alameda County,587683.0,749022.0,919782.0
1971,96594,1985,92025,CA,Escondido,San Diego County,450363.0,551574.0,849271.0
1974,97317,1988,93534,CA,Lancaster,Los Angeles County,184492.0,268510.0,404455.0
1985,96858,1999,92395,CA,Victorville,San Bernardino County,193133.0,254911.0,388610.0
1991,96623,2005,92069,CA,San Marcos,San Diego County,478560.0,572438.0,878181.0
1996,96351,2010,91320,CA,Thousand Oaks,Ventura County,647091.0,719240.0,1002910.0
1997,96010,2011,90029,CA,Los Angeles,Los Angeles County,669936.0,925069.0,1178055.0
2007,97704,2020,94404,CA,Foster City,San Mateo County,1300812.0,1519668.0,1922088.0
2009,98482,2023,95928,CA,Chico,Butte County,292878.0,402507.0,478353.0
2016,97228,2030,93313,CA,Bakersfield,Kern County,231187.0,264262.0,384982.0
2017,96046,2030,90065,CA,Los Angeles,Los Angeles County,688730.0,877040.0,1198654.0
2018,96451,2032,91606,CA,Los Angeles,Los Angeles County,511796.0,658432.0,891111.0
2026,96915,2041,92557,CA,Moreno Valley,Riverside County,286696.0,367328.0,563494.0
2027,96127,2042,90291,CA,Los Angeles,Los Angeles County,1869644.0,2056805.0,2032973.0
2044,96424,2059,91423,CA,Los Angeles,Los Angeles County,954860.0,1158953.0,1583331.0
2048,96159,2063,90501,CA,Torrance,Los Angeles County,586217.0,706437.0,927760.0
2050,98171,2065,95404,CA,Santa Rosa,Sonoma County,574615.0,669196.0,830217.0
2057,96750,2072,92243,CA,El Centro,Imperial County,183958.0,226522.0,324147.0
2058,97570,2073,94116,CA,San Francisco,San Francisco County,1218263.0,1497956.0,1794635.0
2061,97850,2076,94804,CA,Richmond,Contra Costa County,455240.0,637634.0,822033.0
